date	training	race	intensity	minutes	feeling	remark
190221	ol	0	L	75	1	Really shit run at veckans bana but happy and calm at mistakes.
190224	ol	1	H	60	2	Vinterserien alby-friluftsg. Felt strong, some good orienteering, mistakes at paths
190301	styrke	0	H	60	2	-
190305	ol	0	M	75	1	Nackareservatet night with jarla, hard to orienteer, esp bad compass.
190308	styrke	0	H	60	2	-
190309	run	0	L	30	2	-
190310	ol	1	H	60	1	Vinterserien harbro, lots of mistakes and bad mapreading while running. Compass ok
190312	ol	0	M	45	3	Nackareservatet, maproutine-training. At times very high speed and concentration. "Keep the map at your nose when running"
190317	styrke	0	H	45	2	-
190319	ol	0	L	45	3	Reservatet, pretty good, bit weak legs still.
190402	ol	0	L	45	3	Reservatet, first time after flu
190404	ol	0	L	45	1	Reservatet, running ok, OL bad, and then I fell, nasty scrapes on hands and legs
190407	ol	1	H	45	4	Perfect race at ranasstafetten. Medium speed NO MISTAKES
190414	ol	1	H	45	3	Very nice race at mortsjodubbeln, one mistake (lost concentration) otherwise good
190415	styrke	0	H	45	2	-
190416	ol	0	M	60	3	very nice kontrollplock w jarla in alta
190421	ol	1	H	45	2	uppsala mote medel. 6min miss, many slow bits and not very good run, couldnt get into the map
190428	styrke	0	H	45	2	-
190501	ol	1	H	45	3	lidingo medel, pretty good run open8
190505	ol	1	H	60	3	lovely run at TSKs swedish league open9, only small mistakes and two compass ones
190512	styrke	0	H	60	2	-
190514	ol	0	M	45	3	jarla backe up then ol down
190515	ol	1	H	15	1	SCC1
190518	ol	0	L	45	3	nackareservatet
190519	ol	1	H	30	2	medel KM lidingo, quite ok but was a bit too much in a hurry twice, 2min bom.
190523	styrke	0	H	45	2	-
190531	styrke	0	H	60	2	-
190601	ol	0	L	120	2	skavloten
190602	ol	0	H	45	2	nice run in angarn, rerun om8 LD
190610	ol	0	L	45	1	felt bad, lack of sleep, ran in finntorp
190611	ol	1	H	15	2	sprint KM, fairly slow
190613	ol	0	L	60	2	own run
190616	ol	1	H	60	2	jukola! not great legs and tough run, and not best orientering
190618	styrke	0	H	45	1	-
190619	run	0	L	30	2	forest and paths, nice lap, high blabarsris
190622	ol	0	L	150	2	rerun of jarladubbeln LD H21 2015, technically hard and quite tough, was very tired, skipped last 4 or so controls
190629	run	0	M	30	2	-
190707	run	0	M	45	2	-
190709	ol	1	H	75	3	mastloppet, rough terrain and hard orientering, couple of bigger mistakes
190711	ol	0	M	75	2	rerun oppsatralangen nyfors/hojden, very tired legs early on
190713	ol	0	L	45	3	nackareservatet quick run, legs felt ok again!
190718	ol	0	M	75	3	nackareservatet masterna brunbild old jarla night training, saw an elk
190722	ol	1	H	60	3	Oringen E1, defensive run, almost no mistakes
190723	ol	1	H	60	3	Oringen E2, fantastic long around-path to control, and good orientering throughout, 1 mistake. Afterwards ear/balance problem
190725	ol	1	L	60	1	Oringen E3, DNF, too much vertigo from ear, walked/jogged K1-3, then home
190727	ol	1	H	75	2	Oringen E5, very hilly and warm, lost my head a bit around the end, but otherwise ok
190731	styrke	0	H	60	1	Weak after weeks of not training, did also not run since I had ear problems
190803	ol	1	M	70	3	Very nice obygdshelg medel but also very hard mapreading, ran quite slow
190804	ol	1	H	80	3	Even better than medel and mapreading worked better today, more compass and less detail reading, still lost at times
190808	styrke	0	H	45	2	-
190814	ol	0	L	45	2	Nackareservatet, no flow, rusty legs
190819	styrke	0	H	60	2	-
190821	ol	1	H	30	1	Tullinge teamsprint, with Agnes: one OK run, one bad, one disaster, sprained ankle up into shin also :(
190822	ol	0	M	70	2	masmo av Janne/M.Holmberg, OK long, coarse orientering but bad and hard close to controls, 7k, legs finished at the end
190825	ol	1	H	40	3	TMOK dubbel i Aavinge, very good, little stopping and only small mistakes!
190829	styrke	0	H	45	2	-
190831	ol	0	L	45	2	Tyreso-flaten/hojden, OK run
